LSOA,population_per_hectare
E01012274,46.9
E01012248,31.1
E01012250,17.6
E01032542,54.7
E01032543,75.4
E01032544,33.5
E01012194,48.9
E01012195,56.4
E01012258,12.4
E01012259,64.8
E01012268,39.3
E01012187,15.7
E01012188,12.1
E01012189,59.3
E01012205,52.4
E01012219,33.9
E01012251,78.2
E01012252,34.8
E01012253,39.5
E01012254,31.0
E01012204,31.0
E01012206,42.4
E01012207,24.0
E01012208,50.8
E01012262,42.4
E01012264,6.1
E01012266,8.9
E01012267,50.7
E01033477,48.2
E01012190,38.2
E01012191,52.5
E01012224,53.2
E01012225,6.9
E01012226,35.4
E01012209,48.1
E01012217,76.3
E01012218,26.6
E01012223,10.2
E01012286,18.2
E01012287,26.8
E01012288,108.5
E01012289,7.9
E01012238,41.2
E01012239,50.2
E01012240,37.3
E01012241,35.5
E01012290,27.6
E01012291,36.9
E01012292,61.4
E01012282,11.5
E01012283,14.1
E01012284,31.1
E01012285,23.0
E01012199,7.1
E01012200,23.2
E01012201,18.7
E01012202,34.3
E01012203,9.6
E01012270,17.1
E01012228,46.8
E01012230,49.3
E01012233,1.2
E01012236,28.2
E01012237,38.3
E01012227,41.1
E01012231,40.1
E01012232,65.8
E01012234,37.8
E01033474,35.7
E01033475,34.9
E01033478,13.5
E01033479,48.6
E01012235,1.0
E01012298,24.1
E01012299,22.3
E01012300,36.5
E01012301,13.5
E01012302,31.8
E01012303,7.7
E01008246,56.1
E01008247,22.5
E01008248,3.3
E01008249,11.5
E01008250,33.0
E01008195,9.4
E01008197,11.9
E01008198,30.9
E01008199,58.5
E01008200,1.7
E01008245,12.1
E01008214,24.3
E01008215,14.3
E01008243,15.2
E01008244,22.8
E01008178,58.7
E01008180,63.0
E01008182,50.9
E01008277,34.6
E01008280,34.8
E01008177,30.1
E01008179,33.8
E01008181,4.8
E01008276,10.7
E01008279,39.8
E01008209,19.2
E01008210,46.1
E01008258,38.2
E01008259,6.5
E01008167,88.4
E01008169,144.0
E01008170,58.9
E01008171,122.3
E01008257,39.0
E01008262,9.8
E01008263,57.1
E01008264,34.3
E01008265,52.7
E01008266,15.9
E01008251,111.4
E01008252,94.0
E01008253,138.5
E01008254,91.0
E01008255,20.9
E01008165,43.8
E01008201,49.5
E01008202,64.2
E01008204,59.3
E01008212,43.6
E01008213,56.1
E01008216,47.6
E01008228,66.6
E01008206,37.7
E01008207,28.1
E01008208,15.7
E01008211,48.4
E01008283,5.1
E01008284,58.0
E01008286,26.7
E01008287,43.2
E01008231,39.7
E01008240,44.3
E01008241,26.8
E01008242,53.1
E01008281,35.7
E01008282,78.1
E01008219,46.8
E01008235,50.6
E01008236,50.5
E01008237,54.3
E01008238,82.9
E01008267,25.1
E01008269,47.9
E01008270,40.2
E01008271,46.0
E01008275,36.4
E01008229,22.9
E01008230,33.5
E01008232,53.4
E01008233,30.5
E01008285,37.9
E01008256,45.4
E01008260,21.6
E01008261,60.5
E01008268,8.9
E01008272,5.1
E01008273,1.4
E01008274,59.3
E01008193,48.7
E01008194,43.4
E01008234,37.1
E01008239,38.6
E01008218,40.6
E01008220,53.6
E01008221,39.6
E01008225,32.3
E01008227,52.9
E01008184,11.4
E01008185,38.8
E01008188,5.1
E01008278,2.5
E01008189,77.9
E01008190,42.8
E01008191,80.0
E01008192,65.0
E01008217,24.2
E01008183,1.5
E01008186,14.7
E01008187,4.2
E01008196,5.0
E01008222,45.6
E01008223,24.0
E01008224,5.5
E01008226,0.7
E01008172,27.9
E01008173,43.0
E01008174,13.8
E01008175,21.7
E01008176,23.6
E01008162,49.4
E01008164,59.7
E01008166,10.8
E01008168,35.6
E01008163,67.9
E01008203,103.5
E01008205,73.8
E01008294,40.7
E01008306,1.3
E01008307,2.8
E01008308,3.4
E01008311,28.0
E01008312,47.5
E01008313,49.3
E01008309,48.7
E01008352,15.1
E01008357,23.0
E01008358,22.2
E01033550,30.8
E01033551,3.8
E01008336,49.1
E01008337,62.0
E01008338,38.7
E01008339,39.4
E01008340,65.6
E01008341,67.2
E01008342,40.4
E01008293,21.4
E01008456,53.8
E01008457,37.0
E01008458,1.1
E01008459,61.1
E01008460,27.1
E01008351,28.0
E01008354,55.7
E01008418,55.1
E01008420,52.1
E01008422,41.9
E01008424,85.6
E01008353,49.0
E01008355,49.3
E01008356,39.7
E01008378,45.4
E01008419,47.3
E01008421,68.7
E01008423,27.3
E01008317,32.2
E01008319,28.1
E01008320,35.8
E01008321,21.0
E01008322,51.7
E01008323,51.4
E01008295,26.3
E01008374,61.6
E01008375,35.1
E01008376,60.5
E01008377,61.1
E01008379,16.6
E01008380,24.4
E01008296,40.6
E01008297,39.8
E01008298,43.5
E01008299,49.7
E01008314,33.8
E01008315,36.5
E01008316,69.6
E01008318,74.6
E01008363,36.4
E01008365,62.5
E01008366,105.4
E01008369,45.8
E01008371,29.9
E01008372,151.1
E01008373,223.2
E01008400,7.1
E01008401,38.8
E01008402,6.9
E01008403,15.1
E01008404,25.8
E01008405,17.6
E01008443,5.1
E01008324,60.5
E01008325,31.6
E01008326,54.7
E01008327,44.8
E01008328,31.8
E01008329,52.9
E01008330,62.3
E01008300,48.9
E01008450,59.4
E01008451,73.5
E01008452,28.7
E01008367,81.8
E01008368,145.6
E01008370,42.3
E01008409,64.1
E01008411,112.6
E01008303,58.7
E01008359,145.2
E01008360,67.6
E01008361,162.1
E01008362,156.8
E01008364,99.6
E01008343,44.0
E01008344,35.1
E01008345,44.8
E01008346,66.8
E01008347,64.2
E01008348,50.1
E01008349,78.3
E01008350,36.0
E01008430,79.6
E01008431,59.3
E01008433,25.3
E01008434,63.0
E01008435,59.4
E01008436,21.5
E01008381,18.8
E01008382,51.7
E01008383,42.5
E01008384,37.7
E01008385,54.5
E01008386,54.8
E01008387,8.3
E01008396,111.8
E01008398,136.1
E01008449,81.0
E01008453,44.0
E01008455,95.8
E01033556,51.5
E01008406,49.5
E01008407,97.2
E01008410,36.6
E01008412,99.2
E01008413,109.9
E01033548,44.2
E01033553,106.2
E01008394,202.7
E01008395,8.4
E01008397,13.1
E01008399,79.5
E01008439,62.4
E01033543,28.5
E01033545,23.8
E01033554,45.5
E01008415,17.6
E01008416,57.1
E01033547,19.7
E01008301,34.1
E01008302,60.8
E01008304,37.0
E01008305,52.6
E01008391,61.0
E01008392,15.8
E01008432,42.1
E01008288,35.0
E01008289,43.0
E01008290,23.3
E01008291,40.7
E01008292,63.9
E01008388,91.1
E01008389,69.5
E01008426,70.0
E01008429,36.3
E01008331,94.8
E01008332,118.0
E01008333,64.3
E01008334,72.7
E01008335,117.0
E01008437,13.0
E01008438,26.1
E01008390,63.4
E01008425,27.4
E01008427,19.5
E01008428,44.3
E01008441,45.1
E01008442,53.9
