CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
20588,51.676423969999995,-4.711040734,8.8,48.4,6061.0,137.2,966.4,133.2
20589,52.07582737,-4.6279754660000005,5.8,38.6,3280.4,57.8,837.6,135.2
20590,51.913204040000004,-4.3503847268,0.8,22.2,3279.4,44.8,734.4,218.4
20591,51.684221775999994,-4.171486740000001,20.2,70.6,10781.2,281.6,1944.4,239.4
20592,52.22232035,-3.9352860660000006,4.2,26.0,1168.4,68.4,492.8,48.6
20594,52.0557405,-4.335044744,9.0,17.0,3569.8,66.8,766.0,151.0
20596,52.70398509,-3.185409103,0.6,12.6,2007.0,30.2,475.2,100.4
20597,52.578348747999996,-4.0744641662,23.2,22.2,2743.8,26.0,505.4,140.6
20598,52.75007376999999,-3.186660053,3.2,10.8,1442.6,2.8,388.0,132.8
20599,52.95252129000001,-3.9662489210000005,2.2,61.4,2696.0,72.4,567.4,180.2
20601,52.900917146000005,-4.3827967404,32.8,49.4,3774.4,33.0,980.2,183.8
20602,52.93791708,-4.150119306000001,8.4,9.0,1982.2,35.6,467.6,67.2
20603,52.879887970000006,-4.453412462,6.4,54.4,4827.0,45.6,1066.0,137.4
20604,53.3078759,-3.469676979,42.8,64.6,12599.4,185.6,2252.0,210.8
20606,53.05711114999999,-3.21000262,1.0,20.0,1905.4,32.0,483.2,131.4
20608,52.96553424,-2.733968818,4.4,50.8,4114.6,43.0,1064.2,598.0
20609,53.052544200000014,-2.9740608789999996,35.0,40.0,7487.0,35.6,1155.2,223.6
20610,52.98335247,-2.9696136639999997,4.4,16.0,2823.0,32.0,531.2,177.2
20612,53.087794280000004,-3.025115678,22.2,98.0,13501.4,119.6,1987.6,309.4
20613,53.20079943,-3.403430417,5.4,46.8,3092.8,36.8,659.8,165.2
20614,53.16318447,-3.571978843,1.2,14.0,575.6,10.0,204.2,54.0
20618,53.17110660000001,-2.973842477,72.4,112.6,11997.8,220.0,2034.0,529.2
20619,53.1660553,-3.128549028,65.0,125.8,13382.6,136.2,1825.6,399.6
20620,53.15895938799999,-3.0419164521999997,28.2,215.0,11934.2,72.0,2083.2,640.4
20621,51.736726746,-3.0591984786,4.2,38.4,4852.4,92.0,1093.0,137.8
20622,51.78898724,-3.219258721,7.2,30.4,9632.4,97.4,1116.8,157.8
20625,51.412985479999996,-3.2834255639999994,64.4,58.8,13432.8,212.0,1507.0,151.2
20626,51.56585899,-3.2825325100000002,54.0,26.8,6900.8,178.8,1627.2,210.4
20627,51.65332575,-3.490126615,24.8,61.0,10281.6,211.8,2007.4,236.0
20631,51.66625770999999,-3.519470937,48.8,56.2,8377.8,191.0,1642.8,134.2
20632,51.52842188999999,-3.573118366,28.2,150.8,27938.2,483.0,3876.0,549.0
20633,51.59821184,-3.5789945789999997,6.2,28.0,4184.4,94.8,693.4,72.6
20634,51.54953501,-3.5878370619999997,17.8,48.4,5909.4,120.4,1165.2,66.6
20636,51.67501818000001,-3.9163428419999997,4.6,143.2,30911.8,100.4,5978.6,967.8
20637,51.93890957,-3.8774091860000004,1.0,8.2,1128.0,8.4,298.4,21.4
20638,52.00707232,-3.2227015880000005,12.6,7.0,1748.4,72.4,541.0,48.4
20639,53.22580799,-4.495626293,15.8,16.0,2198.0,40.8,448.4,133.4
20640,53.097022990000006,-3.94296139,34.4,48.6,1638.8,69.4,329.2,25.0
20642,51.750741270000006,-3.392068211,24.4,15.0,8990.0,184.4,1290.2,103.8
20643,51.65172679,-3.591406514,10.4,23.0,784.4,0.0,290.4,26.6
20644,51.690479886000006,-3.7651077148,17.4,22.2,4717.8,65.8,1064.0,64.4
20648,52.3955642,-4.05897563,4.2,26.0,968.0,10.2,238.4,34.2
20649,51.69194261,-4.926921599,12.0,75.8,9852.2,135.4,1749.2,200.0
20650,52.43545279,-4.02449748,34.6,33.2,3195.6,18.4,954.4,281.4
20651,51.441036659999995,-3.1811914210000003,98.8,53.4,11013.8,216.8,1449.8,159.4
20654,51.610505581999995,-3.9880863448,73.0,115.8,18293.4,210.6,1819.8,192.0
20655,51.46353641,-3.455287336,16.8,28.6,7506.4,112.8,1334.2,195.8
20657,51.66058447,-3.85197027,49.2,81.0,9762.6,101.6,1815.8,99.0
20658,53.239373404000006,-4.1733788398,6.6,47.0,7971.2,79.6,1435.6,209.0
20660,53.13223713,-3.082074495,26.2,148.4,3562.6,61.8,801.6,153.2
20661,53.24953378,-4.313521689,6.6,44.0,5574.6,30.6,1250.0,111.0
20662,53.158111238000004,-3.0504565968,6.4,26.8,4463.2,10.4,703.2,420.4
20663,53.03837439,-3.0056727469999998,79.4,85.2,10068.0,318.8,1695.2,118.0
20665,53.21642604,-4.161500994,34.2,68.4,7588.6,220.4,1122.4,75.8
20666,51.68532816,-3.0197400030000003,2.8,229.4,34485.0,232.8,5447.0,937.6
20668,53.2025662,-4.142385774,1.0,91.8,22568.4,101.6,4680.2,1875.6
20669,53.209618664000004,-4.0944493662,0.0,84.6,22478.2,95.6,4669.2,1819.8
20670,52.74424371,-3.8975955719999993,3.2,62.8,3259.8,44.4,586.6,325.8
20671,53.28367985999999,-3.81641119,71.6,120.2,12178.8,244.2,1686.8,105.4
20700,55.83702945,-3.925645649,0.0,460.4,36081.4,196.2,7985.8,6492.0
20701,55.898028599999996,-4.4837209719999995,0.0,230.0,47050.8,459.2,8948.2,2963.0
20702,55.949147440000004,-3.410722217,0.0,168.6,49666.6,368.2,9062.4,5185.2
20703,55.99340209,-3.7057366739999997,0.0,113.2,38384.6,238.4,8165.2,3844.8
20704,55.87443187,-4.0791973960000005,0.0,103.6,33161.2,168.2,8568.0,5989.2
20705,55.789409109999994,-4.036542046,0.0,362.8,60932.6,479.4,8618.2,9430.8
